Город;Площадь территории1),  тыс. км2;Численность   населения  на 1 января  2023 г., тыс. человек;Среднегодовая численность занятых2),  тыс. человек;Средне- душевые денежные доходы  (в месяц), руб.;Потреби- тельские расходы в среднем  на душу населения  (в месяц), руб. ;Среднемесячная  номинальная начисленная  заработная плата работников организаций, руб.      ;Валовой  региональ- ный  продукт  в 2021 г. , млрд руб.;Инвестиции  в основной  капитал3),  млрд руб.;"Основные  фонды  в экономике  (по полной учетной стоимости;  на конец года)4), млрд руб.";Объем отгруженных товаров собственного производства, выполненных работ и услуг собственными силами по видам экономической деятельности,  млрд руб.;;;;Продукция  сельского  хозяйства -  всего, млрд руб.;в том числе;;Ввод  в действие  жилых домов, тыс. м2  общей  площади  жилых  помещений;Оборот  розничной  торговли,  млрд руб.           ;Сальдированный финансовый результат (прибыль минус убыток) деятельности организаций5),  млрд руб.
Чеченская Республика;16,2;1 533,2;573,9;30 341,0;22 124,0;33 700,0;268,0;119,5;977,0;4,6;12,7;31,4;2,6;50,9;22,5;28,4;2 016,3;260,2;-16,9
Ставропольский край;66,2;2 891,2;1 294,1;27 626,0;25 153,0;41 402,0;1 025,0;286,4;3 685,0;28,3;479,2;91,7;17,5;278,4;201,9;76,5;1 640,4;614,9;137,7
Приволжский  федеральный округ;1 037,0;28 683,2;13 496,4;35 467,0;29 143,0;47 299,0;16 879,0;3 735,7;58 929,0;3 817,5;12 627,3;1 118,5;324,7;2 035,5;1 122,1;913,4;18 541,0;7 309,1;2 363,8
Республика Башкортостан;142,9;4 077,6;1 684,9;35 269,0;30 479,0;49 460,0;2 000,0;512,4;7 794,0;425,5;1 549,2;161,5;33,5;258,3;124,9;133,4;3 062,5;1 118,0;374,7
Республика Марий Эл;23,4;672,3;268,3;25 696,0;19 832,0;40 713,0;222,0;42,4;1 005,0;0,6;193,1;13,8;4,9;58,1;18,7;39,4;435,8;117,1;20,3
Республика Мордовия;26,1;771,4;386,1;25 504,0;20 288,0;39 538,0;298,0;59,4;1 213,0;0,1;330,3;12,3;4,0;109,3;44,7;64,6;342,6;135,9;38,2
Республика Татарстан;67,8;4 001,6;1 993,6;44 932,0;35 993,0;52 274,0;3 455,0;888,6;10 285,0;1 055,3;3 250,7;169,2;56,4;317,5;154,4;163,1;3 093,4;1 216,3;637,8
Удмуртская Республика;42,1;1 442,2;685,4;31 941,0;25 642,0;45 811,0;842,0;137,0;2 729,0;359,5;469,8;45,2;12,9;91,3;26,8;64,5;1 176,0;310,6;75,4
Чувашская Республика;18,3;1 173,2;495,0;27 213,0;21 891,0;41 527,0;393,0;93,8;1 682,0;0,8;288,2;31,1;7,2;64,5;33,7;30,8;850,6;221,0;36,6
Пермский край;160,2;2 508,4;1 142,5;37 253,0;30 768,0;53 234,0;1 741,0;357,2;7 060,0;575,2;1 342,9;127,7;32,9;66,3;22,6;43,7;1 986,9;660,9;421,3
Кировская область;120,4;1 138,1;555,5;32 149,0;26 548,0;40 833,0;481,0;84,7;1 715,0;1,5;377,4;43,0;8,4;68,1;22,9;45,2;530,3;259,2;34,8
Нижегородская область ;76,6;3 081,8;1 639,9;43 220,0;35 053,0;48 368,0;1 888,0;462,1;7 449,0;6,2;1 663,7;122,3;45,7;120,0;61,7;58,3;1 701,4;971,2;347,3
Оренбургская область;123,7;1 841,4;845,9;30 334,0;25 403,0;43 540,0;1 394,0;234,7;3 840,0;789,0;489,8;84,1;29,8;191,7;125,4;66,3;950,6;418,7;154,4
Пензенская область;43,4;1 246,6;561,6;30 111,0;25 816,0;41 307,0;537,0;103,8;2 194,0;3,3;334,7;22,5;8,3;166,1;96,7;69,4;828,5;286,2;38,4
Самарская область;53,6;3 142,7;1 616,3;37 055,0;30 264,0;48 874,0;2 123,0;446,7;6 733,0;524,1;1 312,2;135,1;54,2;183,0;135,2;47,8;1 881,3;835,4;112,9
Саратовская область;101,2;2 404,9;1 059,3;28 797,0;23 963,0;42 917,0;1 006,0;207,7;3 798,0;54,1;664,2;119,7;15,1;261,7;194,6;67,1;1 011,2;507,7;62,8
Ульяновская область;37,2;1 181,0;562,1;31 008,0;24 548,0;41 523,0;499,0;105,1;1 432,0;22,3;361,2;31,2;11,5;79,5;59,8;19,7;689,8;250,8;8,9
Уральский  федеральный округ;1 818,5;12 259,1;6 256,7;45 544,0;34 123,0;68 084,0;16 699,0;4 071,3;61 460,0;11 093,3;8 283,6;831,6;245,5;457,3;225,4;231,9;8 459,6;3 400,0;3 562,7
Курганская область;71,5;761,6;306,1;28 401,0;22 282,0;41 792,0;269,0;54,7;1 307,0;3,3;197,1;22,6;6,8;71,6;53,7;17,9;333,4;148,1;17,6
Свердловская область ;194,2;4 239,1;2 017,4;46 187,0;37 378,0;55 308,0;3 038,0;541,7;11 639,0;134,7;2 799,1;277,4;126,3;115,3;45,2;70,1;2 942,6;1 321,0;256,4
Тюменская область;1 464,2;3 851,3;2 212,3;59 348,0;39 193,0;94 962,0;11 349,0;3 101,8;42 179,0;10 748,7;3 115,7;380,1;73,7;123,3;61,1;62,2;3 313,3;1 164,0;2 988,3
в том числе:;;;;;;;;;;;;;;;;;;;
Ханты-Мансийский  автономный округ – Югра;534,8;1 730,4;1 070,6;63 454,0;39 700,0;97 562,0;5 652,0;1 329,4;18 848,0;5 838,4;1 000,5;248,5;31,8;9,0;5,5;3,5;877,8;509,2;449,1
Ямало-Ненецкий  автономный округ;769,3;512,4;416,2;116 639,0;47 006,0;131 516,0;4 161,0;1 414,7;18 488,0;4 602,5;827,0;64,1;13,3;3,6;0,1;3,5;190,0;175,4;2 166,9
Тюменская область  без автономных округов;160,1;1 608,5;725,5;36 682,0;36 159,0;61 901,0;1 536,0;357,8;4 843,0;307,8;1 288,2;67,5;28,6;110,7;55,5;55,2;2 245,4;479,4;372,3
Челябинская область;88,6;3 407,1;1 720,9;33 071,0;27 029,0;50 104,0;2 043,0;373,1;6 335,0;206,6;2 171,8;151,5;38,8;147,0;65,4;81,6;1 870,3;766,8;300,4
Сибирский  федеральный округ;4 361,7;16 645,8;7 815,8;35 548,0;27 826,0;57 203,0;11 286,0;2 823,2;31 928,0;4 315,4;5 756,2;826,3;238,8;912,0;497,0;415,0;8 287,7;3 843,4;2 376,8
Республика Алтай;92,9;210,8;83,0;27 940,0;23 272,0;43 974,0;71,0;31,1;240,0;6,5;10,9;6,6;0,5;12,6;2,8;9,8;164,7;42,6;47,9
Республика Тыва;168,6;337,3;111,2;23 049,0;14 320,0;51 782,0;89,0;17,3;248,0;29,8;1,2;4,9;0,5;8,6;1,3;7,3;139,7;34,1;11,1
